perioda	phase	group
28.9	4.1225106795	3.6527601745
29	4.1243372328	3.6565175292
29.1	4.1261496867	3.6602395282
29.2	4.1279472844	3.6639465039
29.3	4.1297300304	3.6676411984
29.4	4.1314986916	3.671309187
29.5	4.1332532732	3.6749533318
29.6	4.1349937802	3.6785764343
29.7	4.1367202172	3.682181236
29.8	4.1384325885	3.6857704186
29.9	4.1401308982	3.6893466046
30	4.141815913	3.692895773
30.1	4.1434876379	3.6964206579
30.2	4.1451460773	3.6999239332
30.3	4.1467912355	3.7034082137
30.4	4.1484231166	3.7068760551
30.5	4.1500424874	3.7103137879
30.6	4.1516485896	3.7137401586
30.7	4.1532414266	3.7171575496
30.8	4.1548225274	3.7205364385
30.9	4.1563911343	3.7238953732
31	4.1579472509	3.7272367828
31.1	4.159490881	3.7305630397
31.2	4.1610227908	3.7338608516
31.3	4.1625422216	3.7371482229
31.4	4.1640507022	3.7403964494
31.5	4.1655467117	3.7436388585
31.6	4.1670310154	3.7468622449
31.7	4.1685043798	3.7500536312
31.8	4.1699652832	3.7532457284
31.9	4.1714160165	3.756395236
32	4.1728550585	3.7595346644
32.1	4.1742831749	3.7626511189
32.2	4.175700369	3.7657467875
32.3	4.1771066442	3.7688238065
32.4	4.1785027664	3.7718695405
32.5	4.1798872137	3.7749155187
32.6	4.1812622766	3.7779197922
32.7	4.1826264336	3.7809137024
32.8	4.1839804502	3.7838846942
32.9	4.1853235664	3.7868491706
33	4.1866573104	3.7897803121
33.1	4.1879809228	3.7926944774
33.2	4.1892951693	3.7955793801
33.3	4.1905985273	3.7984652557
33.4	4.1918932873	3.8013115946
33.5	4.1931779272	3.804148459
33.6	4.194453212	3.8069636431
33.7	4.1957191447	3.8097589871
33.8	4.1969757277	3.8125362868
33.9	4.1982237266	3.8152835753
34	4.1994616186	3.81803005
34.1	4.200691694	3.8207364216
34.2	4.2019116677	3.8234452584
34.3	4.2031238296	3.8261175605
34.4	4.2043266573	3.8287820334
34.5	4.2055216785	3.8314134825
34.6	4.2067073703	3.8340402891
34.7	4.2078852602	3.8366374198
34.8	4.2090545881	3.839219767
34.9	4.210215356	3.8417888476
35	4.2113683288	3.8443330867
35.1	4.2125127461	3.8468670855
35.2	4.2136493726	3.8493793108
35.3	4.2147782105	3.8518712931
35.4	4.2158992621	3.854344526
35.5	4.2170125294	3.8568004676
35.6	4.2181187774	3.8592278262
35.7	4.2192164827	3.8616534639
35.8	4.2203071725	3.8640533713
35.9	4.221390086	3.8664415729
36	4.2224659878	3.8688068604
36.1	4.2235348802	3.8711506409
36.2	4.2245960022	3.8734866776
36.3	4.2256501182	3.8758038265
36.4	4.2266979929	3.8780911136
36.5	4.2277381029	3.8803744291
36.6	4.2287712123	3.8826426945
36.7	4.2297980857	3.8848849986
36.8	4.2308179622	3.8871147526
36.9	4.2318308433	3.8893331158
37	4.2328374935	3.8915292413
37.1	4.2338379146	3.8937043731
37.2	4.2348313455	3.895871605
37.3	4.2358193133	3.8980083255
37.4	4.2368002943	3.9001393942
37.5	4.2377750525	3.9022540733
37.6	4.2387435895	3.9043534683
37.7	4.2397059068	3.906438659
37.8	4.2406620058	3.9085106992
37.9	4.2416126507	3.9105590747
38	4.2425570804	3.9125964183
38.1	4.2434952962	3.9146237091
38.2	4.2444280621	3.9166304985
38.3	4.2453553798	3.9186178486
38.4	4.2462764879	3.9205981102
38.5	4.2471929132	3.9225496327
38.6	4.2481031318	3.9244959815
38.7	4.2490079075	3.9264268189
38.8	4.2499072416	3.9283430905
38.9	4.2508011354	3.9302457203
39	4.2516895901	3.9321356105
39.1	4.2525726068	3.9340136424
39.2	4.2534509497	3.9358697137
39.3	4.2543238572	3.937715706
39.4	4.2551913305	3.9395524389
39.5	4.2560541333	3.9413698765
